#Created with RMG on Sat Dec  6 22:46:19 2025
#pdos0: total, pdos1,pdos2,pdos3: magnetic rhoa#*_a, *_b, *_c: projected on lattice vectors a,b, c#    x[Angstrom]      E[eV]      pdos

  11.656206  -3.960000 4.978877e-02
  11.767218  -3.960000 4.991789e-02
  11.878229  -3.960000 5.017168e-02
  11.989241  -3.960000 5.066339e-02
  12.100252  -3.960000 5.121272e-02
  12.211264  -3.960000 5.168271e-02
  12.322275  -3.960000 5.211138e-02
  12.433287  -3.960000 5.254668e-02
  12.544298  -3.960000 5.310186e-02
  12.655310  -3.960000 5.369196e-02
  12.766321  -3.960000 5.424587e-02
  12.877332  -3.960000 5.464271e-02
  12.988344  -3.960000 5.477185e-02
  13.099355  -3.960000 5.467087e-02
  13.210367  -3.960000 5.443051e-02
  13.321378  -3.960000 5.417617e-02
  13.432390  -3.960000 5.389781e-02
  13.543401  -3.960000 5.358169e-02
  13.654413  -3.960000 5.324434e-02
